id,site_id,type,filename,name,lat,lon,description,image
1,8,bathroom,,Bathroom,43.0872,-89.42,Male/Female Pit Toilets,
2,8,parkinglot,,Parking Lot,43.0843,-89.4296,Paid Parking M-F,
3,8,busstop,,University Bay & Picnic Point (EB),43.0843,-89.4291,,
4,8,busstop,,University Bay & Picnic Point (WB),43.0843,-89.4289,,
5,8,birdpoi,,University Bay,43.0837,-89.4248,Hotspot for migratory waterfowl,
6,8,birdpoi,,Picnic Point Marsh,43.0867,-89.4226,"Hotspot for marsh birds, woodpeckers, and waterfowl. Highlights include Red Headed Woodpecker, Pileated Woodpecker, Wood Ducks, and more.",
7,8,trail,lsnpparkingtopp,Parking Lot to Picnic Point,,,"Mostly Crushed Stone, Eroded in some places, can be wet and muddy in winter and early spring. ",
8,1,parkinglot,,Parking Lot,43.166874,-89.364626,Gravel parking lot with handicap parking signs present. Spaces are not marked but the area is large and can accommodate vans. ,
9,1,bathroom,,Bathroom,43.167079,-89.365069,"Doorframes are at least 32"" across. Stall size is minimum 60"" x 60"". Very spacious handicap stall. There are no mirrors or hand dryers in the restroom, just two toilet stalls (one handicap), a sink, and a roll of paper towels on a chain by the door.",
10,1,birdpoi,,Yahara River,43.170866,-89.369126,Great place to view migratory waterfowl. Bald Eagle and Osprey nest along the river.,
11,1,birdpoi,,Forest,43.170532,-89.363233,"The wooded areas and woodland edges have scarlet tanager, indigo bunting, rose-breasted grosbeak and woodpeckers.",
12,1,birdpoi,,Prairie,,,Eastern bluebird and tree swallow nest in the prairie.,
13,1,birdpoi,,Marsh,,,"Wetlands are great place to view marsh birds such as snipes, raills, and the infamous American Woodcock.",
14,1,trail,,,,,,
15,2,parkinglot,,Parking Lot,43.148465,-89.38257,Open gravel parking are. No marked handicap spots available.,
16,2,bathroom,,Bathroom,43.148432,-89.382401,"Single all-gender bathroom in the parking lot. It is not a port-a-potty. Door is at least 32"" across. Dimensions of the sink and toilet unknown.",
17,2,birdpoi,,Downed Trees,43.149014,-89.379548,"These old dead trees create ideal perches for birdwatching, including sightings of the striking red-headed woodpecker.",
18,2,birdpoi,,Forest,43.149673,-89.382581,"The wooded areas attract woodpeckers, nesting Baltimore orioles, blue-gray gnatcatchers, and a variety of wood-warblers.",
19,2,birdpoi,,Pond,43.149452,-89.380678,"Sandhill cranes are frequently seen or heard, and the ponds often host wood ducks, great blue herons, green herons, and belted kingfishers.",
20,2,trail,cmsmergansertrail,Merganser Trail,,,"The Merganser trail is primarily mowed grass with prairie on either side (80% of trail). There are some inclines and declines, and in wooded section near the end, some mud, possible protruding roots and rocks (~20%).",
21,3,parkinglot,,Parking Lot,43.031086,-89.349058,Paved lot with bumps and potholes present. There is one designated handicap parking space in this lot which can accommodate a van. There are 18 parking spaces total.,
22,3,birdpoi,,Viewing Platform,43.031625,-89.348893,Viewing platform and boardwalk provides great views of wetland habitat and Nine Springs Creek.,
23,3,birdpoi,,Forest,43.032765,-89.350792,"The wooded and brushy areas around the marsh attract warblers, sparrows, and other songbirds, especially during migration.",
24,3,birdpoi,,Lagoons,43.03479,-89.351579,"The lagoons, part of an environmentally focused wastewater treatment facility, provide essential feeding and resting grounds for over 250 species of birds and wildlife. During spring and fall migration, the ponds teem with waterfowl, while cranes can often be seen roosting in the evening. Shorebirds, wading birds, and secretive species like rails frequent the area when water levels are low. Along the northern edge, where woods meet a creek, rusty blackbirds can reliably be found roosting with flocks of other blackbirds.",
25,3,access,,Bumpy Incline,43.032949,-89.351334,Small stretch (~20ft) of incline that connects bike path to pond trails. Somewhat steep and mildly bumpy,
,3,bathroom,,Bathroom,43.03105379,-89.34930023,Only open in Summer.,
26,3,trail,ninespringstrail,Nine Springs Trail,,,"There is a wooden boardwalk near the parking area and a paved, asphalt bike trail that leads to the entrance of the ponds. The trails around the retention ponds are a mix of crushed gravel, dirt, and grass. They are flat but occasionally have potholes and can be muddy after a rain. There are some stretches were the grass can get tall in the summer, but the main stretch on the front (south) side of the first, second, and third ponds is flat, packed gravel without a lot of vegetation and very easily navigable. There is only one small incline, found on a dirt path that connects the bike trail to the gravel trails around the pond. This short section of trail would pose the biggest challenge to a wheelchair user, as it has a slight incline and also mildly bumpy.",
27,4,birdpoi,,,,,,
28,4,birdpoi,,,,,,
29,4,trail,,,,,,
30,4,busstop,,School at Northland,43.146205,-89.382616,,
31,5,parkinglot,,Parking Lot,43.02957,-89.331187,"paved surface, regular accessible spots, van accesible spots, curb cuts present",
,5,bathroom,,Bathroom,43.029442,-89.330281,Closed seasonally.,
32,5,bathroom,,Bathroom,43.033294,-89.325608,Closed seasonally.,
33,5,birdpoi,,Fishing Pier,43.029017,-89.329219,This Accessible fishing is a great lookout for waterfowl on Lake Waubesa.,
34,5,birdpoi,,Forest,43.03411,-89.324707,The wooded sections of Lake Farm County Park are great for finding songbirds and woodpeckers.,
35,5,birdpoi,,Yahara River Trail,43.03497,-89.322209,"The Yahara River Trail is North America's longest inland boardwalk bridge for non-motorized transit. This trail is also an amazing place to see different species of waterfowl including swans, ducks, and geese. ",
36,5,birdpoi,,Prairie,43.034871,-89.326284,"As you look around the prairie back to the parking lot, keep an eye out for different prairie species such as tree swallows, song sparrows, and bluebirds.",
37,5,trail,lakefarmtrail,Lake Farm County Park Trail,,,any trail surface types present. Starts as grass before transitioning to packed dirt. Some low-lying areas get muddy after rain. Some sections are more packed dirt or crushed limestone. The bike path that runs along the prairie and to the boardwalk is asphalt. The boardwalk is wooden planks (in very good condition).,
38,6,parkinglot,,Parking Lot,43.06861,-89.442077,There is a large lot with designated handicap spaces (large enough for van access).,
39,6,bathroom,,Bathroom,43.068254,-89.44183,Restrooms at this location are usually closed in late fall through early spring.,
40,6,birdpoi,,Forest,43.069526,-89.442334,Mix of young and old growth vegetation. Warblers and thrushes can be found in the wooded areas. Owls are often heard in the forested sections.,
