site_id,name,long,lat,description,image,ebird_id,ebird_hotspot,num_species,car_birding,park_fee,,unit_of_measure,length_of_trail,type_of_trail,parking_info,bathroom_info,ramp_info,trail_info,slope_info,trail_width_and_pullouts,step_info,bench_info,obstacle_info,railing_or_barrier_info,low_vision_info,shade_info,noise_info,bird_blind_info,maintenance_info,safety_info,other_info
1,Cherokee Marsh - North Unit,-89.3646425,43.16698948,"Cherokee Marsh Conservation Park, North Unit has trails that explore restored prairie, oak savanna, and woodland. Boardwalks with observation decks offer views of the upper Yahara River, deep marsh, and sedge meadow. Birdlife includes nesting sandhill cranes in the wetlands and bald eagle and osprey on the river. The wooded areas and woodland edges have scarlet tanager, indigo bunting, rose-breasted grosbeak and woodpeckers. Eastern bluebird and tree swallow nest in the prairie. In spring, American woodcock perform their ""sky dance"" over the wetlands. Wood-warblers use the area as a migration stop. This park is a major destination for local residents and environmental education groups.",,L2846310,"Cherokee Marsh Conservation Park--North Unit, Dane, Wisconsin, United States - eBird Hotspot",227,No,No,,mi,2.6,loop,gravel parking lot with handicap parking signs present. Spaces are not marked but the area is large and can accommodate vans. ,"Doorframes are at least 32"" across. Stall size is minimum 60"" x 60"". Very spacious handicap stall. There are no mirrors or hand dryers in the restroom, just two toilet stalls (one handicap), a sink, and a roll of paper towels on a chain by the door.",No ramps are present.,"The trails are crushed limestone, hard-packed dirt, or grass. The boardwalks are metal. There are wooden observation decks that require steps.","There is a trail loop that goes over a large hill that would not be accessible via a mobility device, but excluding this loop the trails are flat or a ratio of 1:20.","Trail is at least 60"" wide to allow to mobility devices to pass.",There are steps to access wooden overlooks. There are two overlooks that are on an elevated wooded platform that require one step. There are two much higher overlooks that require approximately 5-6 steps.,Benches are very infrequent though there are a few. There is a picnic table near the parking lot and restrooms.,The road closure gate is near the parking lot but there is access around it.,No railings or barriers are present.,No features available for visitors who are blind or have low vision.,"The wooded areas have ample shade, the marsh trails and boardwalks are mostly unshaded.","Very intermittently, large jets will fly over.",No bird blind present.,"Trails and adjacent vegetation are well maintained, but they do get very icy in the winter. In winter months, trails are not plowed (though the entrance road and parking lot are).","Unknown if there is lighting in the parking lot. While this hotspot is well-used, it is not usually packed and it is not uncommon to be the only vehicle in the parking lot especially if birding in the early morning or evening.",Water fountains are available.
2,Cherokee Marsh Conservation Park - South (Merganser Trail),-89.38270411,43.14860009,"The Merganser Trail at Cherokee Marsh Conservation Park, South Unit, offers a variety of habitats, including restored prairie, oak savanna, and woodlands. High ground along the trails provides sweeping views of the upper Yahara River, deep marshes, and sedge meadows, while three constructed ponds filter urban stormwater and serve as vital wildlife habitats. Sandhill cranes are frequently seen or heard, and the ponds often host wood ducks, great blue herons, green herons, and belted kingfishers. The wooded areas attract woodpeckers, nesting Baltimore orioles, blue-gray gnatcatchers, and a variety of wood-warblers. On the eastern section of the Merganser Trail, old dead trees create ideal perches for birdwatching, including sightings of the striking red-headed woodpecker.",,L2837539,"Cherokee Marsh Conservation Park--South Unit, Dane, Wisconsin, United States - eBird Hotspot",205,No,No,,mi,0.6,loop,"Open gravel parking area at the top of the trailhead, and another at the boat launch area (that can be reached by driving down the gravel road). There is parking available on streets nearby. No marked handicap spots available. ","There is a single al-gender bathroom in the parking lot. It is not a port-a-potty. Door is at least 32"" across. Dimensions of the sink and toilet unknown.",No ramps are present.,"The Merganser trail is primarily mowed grass with prairie on either side (80% of trail). There are some inclines and declines, and in wooded section near the end, some mud, possible protruding roots and rocks (~20%).","Most of the trail is flat, and level. There are some sloping hill sections that are a low gradient. Near the wooded section at the end, the slope is marginally steeper.","Some areas of the path are wider than others, and there are some small areas with more open space. At least 25% of the path is quite narrow, prior to circling the pond on the south side of the trail.",No steps are present.,No benches are available.,No known obstacles or obstructions are present.,No railings or barriers are present.,No features available for visitors who are blind or have low vision.,The wooded area near the end (last 20%) has partial shade.,"When the roads and neighborhood around the park are busy, traffic noise may be present.",No bird blind present.,Trails are mowed frequently and are plowed in the winter. Vegetation adjacent to trail is maintained. ,"Advise preparing for ticks and bugs (mosquitoes, biting flies, etc) at nearly all trails in the area, as they are a present concern during warmer weather months. Proximity to the neighborhood means some locals use the trails, and there are sidewalks and streets visible from parts of the trail that have typical neighborhood traffic (dog walking, biking, etc).",Access Ability Wisconsin has Outdoor Wheelchairs (OWCs) available for rental. Individuals can reserve a chair and trailer a minimum of 5-7 days in advance (must be picked up and brought to the location) through the reservation system on their site: https://locations.accessabilitywi.org/reservations
3,Nine Springs / Madison Metropolitan Sewerage District Wildlife Observation Area,-89.34909761,43.03141374,"The Nine Springs Wildlife Observation Area is a premier birding hotspot in the Madison area, offering exceptional opportunities to witness the seasonal migrations of waterfowl, shorebirds, and raptors. As part of the 140-acre Capital Springs State Park and Recreation Area, this site features trails that wind around lagoons, wetlands, and wooded edges, along with a wooden boardwalk leading to an accessible observation platform. The lagoons, part of an environmentally focused wastewater treatment facility, provide essential feeding and resting grounds for over 250 species of birds and wildlife. During spring and fall migration, the ponds teem with waterfowl, while cranes can often be seen roosting in the evening. Shorebirds, wading birds, and secretive species like rails frequent the area when water levels are low. Along the northern edge, where woods meet a creek, rusty blackbirds can reliably be found roosting with flocks of other blackbirds. The site's diverse habitats extend beyond the wetlands, with wooded and brushy areas attracting warblers, sparrows, and other songbirds, especially during migration. In summer, watch for ospreys nesting nearby on a cellphone tower.",,L199454,"Nine Springs Natural Area, Dane, Wisconsin, United States - eBird Hotspot",266,No,No,,mi,0.6,loop,Paved lot with bumps and potholes present. There is one designated handicap parking space in this lot which can accommodate a van. There are 18 parking spaces total.,No bathrooms available.,No ramps are present.,"There is a wooden boardwalk near the parking area and a paved, asphalt bike trail that leads to the entrance of the ponds. The trails around the retention ponds are a mix of crushed gravel, dirt, and grass. They are flat but occasionally have potholes and can be muddy after a rain. There are some stretches were the grass can get tall in the summer, but the main stretch on the front (south) side of the first, second, and third ponds is flat, packed gravel without a lot of vegetation and very easily navigable. There is only one small incline, found on a dirt path that connects the bike trail to the gravel trails around the pond. This short section of trail would pose the biggest challenge to a wheelchair user, as it has a slight incline and also mildly bumpy.",There is one small stretch of incline (maybe 20 ft) that connects the bike path to the pond trails. Otherwise the trails are flat.,"Trails are very wide, designed that a truck could drive on them.",No steps are present.,"There is a bench at the beginning of the wooden boardwalk, at the observation deck at the end of the wooden boardwalk, and near Pond 1. There is a picnic table near the parking lot.",No known obstacles or obstructions are present.,The railings are only present on the observation deck at the end of the boardwalk. We are unsure if they would obstruct vision.,No features available for visitors who are blind or have low vision.,A very small portion of the trails (near the bike path) have shade. The rest of the area is unshaded.,"There is a road directly adjacent to the western part of the trails, where traffic can be heard. Not necessarily noise related, but smell-related: this site is next to the Madison Metropolitan Sewerage District and there are some times when there is a smell from the treatment center.",No bird blind present.,Vegetation near trail is well-maintained.,"During the day, there is a lot of recreational activity near this area because of a busy and popular bike path that runs next to it. While on the trails around the ponds, though, it is not uncommon to be the only person out there. This is popular birding spot, but because of its size it can feel deserted at times. We have witnessed groups using the parking lot for social gatherings with loud music in the late evening; signs are posted that the area is monitored at night to discourage those gatherings. We are unsure of how well-lit this area is at night, but there are some streetlights in the lot.",A scope is helpful but not necessary.
4,Forest Hill Cemetery,-89.42957039,43.06684756,"Forest Hill Cemetery, one of Madison's historic gems, offers a tranquil and picturesque setting steeped in natural and cultural history. Designed as a rural cemetery, it reflects a 19th-century movement to create serene, park-like spaces for visitors to honor loved ones while enjoying the beauty of nature. The cemetery is built on the site of ancient Ho-Chunk effigy mounds, shaped like water spirits, geese, and other forms, adding a deep sense of connection to the land. With its mature trees, and quiet pathways, Forest Hill has become a seasonal haven for birdlife. In late fall and winter, it sometimes attracts northern finches, while the year-round habitat provides food and shelter for a variety of species. Its peaceful atmosphere makes Forest Hill Cemetary a unique destination for birdwatching and quiet reflection.",,L1407441,"Forest Hill Cemetery (Madison), Dane, Wisconsin, United States - eBird Hotspot",146,Yes,No,,mi,0.6,loop,No parking available.,No bathrooms available.,No ramps are present.,"All paved roadway for slow car travel or walking. There are areas of unevenness and potholes, lower grade slopes present throughout path.",Primarily slopes less than 5% grade with some higher grade slopes.,"Very wide paved trail, not really any pull-outs present.",No steps are present.,No benches are available.,No known obstacles or obstructions are present.,No railings or barriers are present.,No features available for visitors who are blind or have low vision.,"The area is populated by many tall, old growth trees which provide a reasonable amount of shade on certain parts of the path.",No information on noise is available.,No bird blind present.,Trail is plowed during the winter and leaves are removed throughout fall. Vegetation adjacent to trail is well maintained. Cracks and potholes are present on trail surface.,"Isolated, quiet spot, accessible only during daytime hours.",The cemetery office is open from 9am-3pm
5,Lake Farm County Park,-89.33232199,43.0267495,"Located just five miles south of downtown Madison, William G. Lunney Lake Farm County Park is a 345-acre gem within the Capital Springs Recreation Area. Established in 1973 and renamed in 2019 to honor William G. Lunney's 50 years of service in county government, the park features a wide range of amenities, including a campground, three reservable shelters, accessible fishing piers, a barrier-free boat launch, play equipment, hiking trails, and an observation tower. It also connects to the scenic Lower Yahara River Trail, which spans Lake Waubesa on North America�s longest inland boardwalk bridge for non-motorized transit. The park's woodlands, prairies, and lakefront make it a favorite destination for birders year-round. In the winter, waterfowl and swans gather near the unfrozen waters along the western side of the boardwalk, offering excellent viewing opportunities. Spring brings warblers to the woodland trails, while osprey and bald eagles can be seen hunting in the area. For an ideal birding experience, visitors often explore the woodland trails along the lake, visit the westernmost section of the boardwalk, and loop back through the trails near the prairie.",,L201005,"Lake Farm County Park, Dane, Wisconsin, United States - eBird Hotspot",246,No,No,,mi,0.6,loop,"paved surface, regular accessible spots, van accesible spots, curb cuts present","pit toilets at nearby campground accessed via first parking lot, portable toilets by second parking lot, flush toilets near campground (measurements unknown)",No ramps are present.,Many trail surface types present. Starts as grass before transitioning to packed dirt. Some low-lying areas get muddy after rain. Some sections are more packed dirt or crushed limestone. The bike path that runs along the prairie and to the boardwalk is asphalt. The boardwalk is wooden planks (in very good condition).,"The trail slopes are generally very flat, but there is one section along the trail in the woods where there is a hill with a short and steep incline. This area could be avoided by using the asphalt bike path or by routing to the prairie trails that are not directly adjacent to the lake.",The trails here are very wide and can accommodate groups passing each other easily. The boardwalk has pullouts present near the westernmost side of the trail (closest to Lake Farm County Park),No steps are present.,Benches are infrequent but present. The trail from the first lot will pass two separate park shelters with benches and tables present. There are benches along the path but they don't seem evenly spaced. There are also benches whenever there is a pullout along the boardwalk.,No known obstacles or obstructions are present.,Railing is only present on the boardwalk (Lower Yahara River Trail) that connects Lake Farm to McDaniel Park. There are large slats in the bars (spacing unknown).,No features available for visitors who are blind or have low vision.,"When the trail goes through the woods, it is very shaded. The boardwalk and prairie sections are unshaded.","There are reservable park shelters near the path where family gatherings and such occur often during the summer. In the summer, there are lots of boats on the water, sometimes going fast or playing loud music.",No bird blind present.,Grassy trails are mowed frequently. Vegetation adjacted to trail is well managed.,location is well used and does not feel deserted. Parking area is well lit at night.,
6,Hoyt Park,-89.44156615,43.06830531,"Nestled quietly away from Madison's bustling traffic, Hoyt Park offers an escape with its mix of forest and restored prairie habitats. The park's network of paved and unpaved trails weaves through lush young and old-growth vegetation. Twelve restored historic stone fireplaces dot the landscape, along with striking exposed rock formations. The wooded areas are a magnet for warblers and thrushes, and in the fall and winter, owls can often be heard hooting through the quiet. While the park features a short wheelchair-accessible trail, the rest of its paths are more challenging for those with mobility difficulties, as the terrain is often uneven and sloped.",,L1178160,"Hoyt Park (Madison), Dane, Wisconsin, United States - eBird Hotspot",143,No,No,,mi,0.6,loop,"There is a large lot with designated handicap spaces (large enough for van access). If using/needing the park shelter (which is located on a hill), there is a paved road from the main lot to the shelter.","Restrooms at this location are usually closed in late fall through early spring. There are male and female restrooms, but we are unsure of the dimensions as the restrooms were closed during our visit in late October.",No ramps are present.,"There are multiple trail surface types throughout the park. There is a (short, less than .5 mile) paved asphalt wheelchair accessible trail that leads from the parking area. It is an out-and-back if using a wheelchair, though it does connect to a dirt trail for other users. The rest of the park trails are primarily packed dirt or crushed limestone or bare rock steps.","There are a range of slopes at Hoyt due to the unique nature of this park. The wheelchair accessible trail has a gentle slope, no more than 5% gradient, but the woodland trails can be heavily sloped in areas and often have steps.",The wheelchair accessible trail is very wide and allows for easy passing. The woodland trails (packed dirt) are narrower and usually require single file.,Rock steps present in 4-5 areas of park. None present on accessible trail.,Benches are infrequent but can be found as picnic tables near the many stone fireplaces that are scattered throughout the park.,No known obstacles or obstructions are present.,No railings or barriers are present.,No features available for visitors who are blind or have low vision.,Hoyt Park is heavily wooded and most of the trail is very shaded. There is a large lawn near the main parking lot that is unshaded.,"This is a quiet park in a quiet residential neighborhood. If the shelter is in use for an event, there may be noise.",No bird blind present.,Trails are well maintained. Grassy sections are mowed. Trail is plowed during Winter and leaves are removed throughout Fall. Vegetation adjacent to trail is well maintained. Cracks and potholes are present on trail.,No safety information is available.,"There is an overlook off of Owen Parkway (called Sunset Overlook on the linked map above) where there is a pullout for car parking and nice views of the prairie, woods, and city skyline. It's a good spot to park and listen for owls at night."
7,Tenney Park Pier,-89.37079026,43.09495833,"Located along the shores of Lake Mendota in Madison, WI, Tenney Park Pier provides a retreat for those seeking serene waterfront views and a peaceful atmosphere. This spot is popular for picnics, fishing, and leisurely strolls, offering visitors the opportunity to relax by the water's edge and take in the beauty of the lake and its surrounding greenery. For birders, Tenney Park Pier is an excellent location to view migrating waterfowl and gulls. Its convenient location and calm environment make it an ideal spot for appreciating the seasonal movements of birds across the lake.",,L356316,"Tenney Park, Dane, Wisconsin, United States - eBird Hotspot",201,No,No,,mi,0.6,out and back,"There is paved parking across Sherman Ave at Tenney Park, which includes several regular parking spots in addition to some van accessible parking spots.",There are bathrooms on site at the Tenney Park Lock and Dam. There are also bathrooms at the Tenney Park Shelter and near the Tenney Park Beach. The restrooms may be closed seasonally.,No ramps are present.,The path is entirely paved concrete and in generally good condition.,Trail is completely flat.,"Trail is at least 36"" wide.",No steps are present.,"Several benches are available and well spaced along the pier, and near the lakefront area. Nearly all benches have backs and armrests.",No known obstacles or obstructions are present.,No railings or barriers are present.,No features available for visitors who are blind or have low vision.,There are no trees or shaded areas along the pier.,Traffic along Sherman Ave or Johnson St is audible from this location. Some boat noise may also be present seasonally.,No bird blind present.,Grassy trails are mowed frequently. Trail is plowed in the Winter and leaves are removed throughout Fall. Vegetation adjacted to trail is well managed.,No safety information is available.,Water fountains present. Access Ability Wisconsin has outdoor wheelchairs available for reservation: https://www.accessabilitywi.org/
8,Lakeshore Nature Preserve,-89.42872845,43.08445263,"Spanning 300 acres along the south shore of Lake Mendota on the University of Wisconsin-Madison campus, the Lakeshore Nature Preserve connects the campus to the lake. Representing about one-third of the university's main campus acreage, the preserve boasts 4.3 miles of Lake Mendota shoreline, including the famed Lakeshore Path. This trail stretches from the Memorial Union to Wally Bauman Woods, passing through iconic spots like Picnic Point, a mile long peninsula that juts into the lake. With 12 miles of trails weaving through a mix of woods, prairie, and wetland, the preserve is one of Madison's best birding destinations. Its location along Lake Mendota serves as a critical stopover for migrating birds, making it especially popular during spring and fall. Notable hotspots include Biocore Prairie, Bill's Woods, Frautschi Point, and the Class of 1918 Marsh. For accessibility, the 1-mile out-and-back trail to the tip of Picnic Point is an excellent option for visitors with mobility concerns.",,L4081898,"UW Lakeshore Nature Preserve (general), Dane, Wisconsin, United States - eBird Hotspot",242,No,Yes,,mi,0.6,loop,There are several van accessible parking spaces (unsure how many) in this very large lot. The lot is paved with marked spaces and has digital parking payment stations for times when payment is required (Mon-Fri 7:30am-4pm). There is a bus-stop located at the entrance to the lot.,There are very rustic bathrooms located at the Narrows on the Picnic Point trail. They are not equipped with running water. They are open year-round.,No ramps are present.,"There are multiple types of trail surfaces depending on which route of the 12-miles of available trail you take. The surfaces are very well maintained, but may get muddy due to being dirt. The 1-mile long trail to Picnic Point is considered accessible - it is crushed limestone/dirt and smooth at an even elevation.","This varies by trail. The Picnic Point trail is flat with a few areas of very gentle slopes. The trails through Bill's Woods are sloped, often steeper than 5% gradient. The Biocore Prairie trials are mostly flat with gentle slopes.","Most of the main trails are at least 60"" wide and allow two mobility devices to pass, but there are some trails where this is not possible. The Picnic Point trail has multiple pullouts and viewing areas with benches that happen frequently, but pull outs are less frequent on other trails.",No steps are present.,"Benches are very frequent along the Picnic Point trail, but less frequent or absent on other trails.","There is a wooden fence that one must move through to access the Picnic Point Trail. We believe it is at least 36"" wide as this trail is advertised as ""accessible"" but we have not measured it. There is a chain that runs across the asphalt path leading into Bill's Woods, but it can be unhitched to move around. There are other paths into Bill's Woods with no obstruction.",No railings or barriers are present.,No features available for visitors who are blind or have low vision.,"The Biocore Prairie trails are unshaded, the rest of the Preserve is wooded and mostly shaded.","Because of it's proximity to campus, there is often noise from large groups who may be gathering for events or from folks using the fire circles as gathering areas. The Marching Band plays nearby and the sound of their instruments carries over the water, so one can often hear them during the school year.",No bird blind present.,This is a very well-maintained preserve. Grassy areas are mowed when neccesary. Lot is plowed in the winter. Leaves are managed throughout fall. Vegetation adjacent to trail is well maintained. ,"The parking area is well-lit, but the trails are not lit at night. Campus security and parking enforcement frequent the lot (don't try and get away without paying for parking - it will be a $30+ ticket and they check the lot frequently.) There is an emergency callbox located at the entrance to Picnic Point and the entrance to Frautschi Point.",There is one drinking fountain located near the Narrows on the Picnic Point trail. There is an extensive Audio Trail with signage and QR codes that provides interpretive material and history of the Lakeshore Nature Preserve. More details and a map of the Audio Trail markers here: https://lakeshorepreserve.wisc.edu/preserve-audio-trail-class-of-1918-marsh-audio-field-trip/
9,Aldo Leopold Nature Center,-89.32097402,43.05445502,"Found in Monona, the Aldo Leopold Nature Center (ALNC) offers a mix of oak savanna, wetland, prairie, and woodland ecosystems. Located on Femrite Drive, near Woodland Park and Edna Taylor Conservancy, this neighborhood nature center invites visitors to explore its diverse habitats through a network of short, accessible trails. The ALNC is a great birding spot with a variety of highlights. Sandhill cranes nest in the marsh, while green and blue herons can often be spotted near the water. Red-tailed hawks are known to nest in the area, and the basswood forests on the property's edge are busy with warblers, vireos, woodpeckers, and thrushes during migration seasons. In winter, the trails transform into a snowshoeing destination, and in spring and summer, the prairie bursts with colorful wildflowers. Visitors can extend their outing by exploring nearby Edna Taylor Conservation Park or Woodland Park, both easily accessible from the ALNC and equally rich in birding opportunities. The best times to visit for birding are outside of school hours, providing a quieter experience and more parking availability. ",,L4420704,"Aldo Leopold Nature Center, Dane, Wisconsin, United States - eBird Hotspot",161,No,No,,mi,0.6,loop,"There is one van-accessible handicap parking space in front of the main ALNC building, next to a EV charging station. There are several additional, standard lined spaces. Additional parking available in the lot marked for drop-offs (outside of Nature Center hours) and an additional paved lot with standard spaces for Woodland Park, a city park, which is on the opposite (left) side of the road as you drive in.",Bathrooms are only available when the Nature Center building is open.,"There are occasional ramps on the trails and their accessibility varies. Most are at a perfect slope, but there is a bridge near the marsh with ramp entrances that feel steep and may not be wheelchair accessible without assistance.","Trails are well-maintained and a mix of asphalt, concrete, hard-packed soil, thick grass, and wooden boardwalks. Boardwalk section does have a few rotted wooden planks.  Trails near the play area are packed dirt and may be muddy after a rain. ","The trails are primarily flat, with one area near the woods where there is a very gentle slope.","Trail width varies depending on what habitat of the site you are in. While walking in the basswoods or prairie, the trail is wide and allows for passing. But on the boardwalk and marsh section, passing would be more difficult (though the trails are still at least 36in).",There are no steps on the trails or to the main entrance to the Nature Center. There are steps to access the deck of the Nature Center (which is closed right now) and these can avoided.,"Benches are clustered in a few areas in a ""classroom style"" rather than dispersed along the trails, but there are at least three areas where benches can be found. They are on grass and/or dirt, not connected to paved areas. There are benches near the entrance and also picnic tables on an large open lawn that borders the prairie.",No known obstacles or obstructions are present.,"There are two bridges with railings. One is a flat bridge over the marsh, with a metal railing on one side; the other side is exposed with no railing or lip. The other bridge on the other end of the marsh has ramps on either side, with tall side railings and the view is mildly obstructed with netting and wooden bars. The slope on the ramps of this bridge feels steep, but it could be avoided by taking another route around the marsh. ",No features available for visitors who are blind or have low vision.,"The prairie and marsh trails are unshaded, but the woodland stretches of the trail have partial shade.","During school hours, children and ALNC staff are present and may be playing outside, so you can expect the sound of children playing if visiting during the day. This is also a popular venue for weddings or gatherings in the spring/summer. On weekends or outside of school hours, it is fairly quiet with no strong traffic or industrial noises.",No bird blind present.,Grassy areas are mowed frequently. Trails are plowed in Winter and leaves are removed throughout Fall. Vegetation adjacent to trail is well maintained.,"This is an active nature center with programs offered for youth, so during the day the trails may be busy with classrooms/children exploring the grounds. Outside of school hours, the trails are not busy and you will often see a few other trail users at a time. The trails are not lit at night, but there are lamps near the parking lot and building. There are some apartment buildings and other buildings that you drive by to reach the nature center, and we cannot confirm how well those places are lit but we expect they have similar outdoor lighting.",ALNC-led programs are often available for the public to join.
10,Lewis Park Observation Deck,-89.29497176,43.00452558,"Located on the southern edge of McFarland, Lewis Park offers views of Lower Mud Lake from its accessible observation deck. This peaceful spot is perfect for birdwatchers, featuring two ADA-accessible telescopes on the platform that are free to use year-round. Visitors can enjoy the scenery and wildlife from a short, paved trail with curb cuts and a gentle ramp that leads to the wide wooden viewing area. The park is particularly popular during spring and fall migration, as the Yahara River's flow often keeps the water near the platform open, even when the lake is iced over. Swans, geese, and a wide variety of waterfowl species can be spotted during these seasons. The nearby heated shelter includes an accessible restroom and covered outdoor tables, making it a comfortable spot to extend your visit.",,L2359195,"Lower Mud Lake--Lewis Park & Marsh Woods, Dane, Wisconsin, United States - eBird Hotspot",180,No,No,,mi,0.6,out and back,Paved lot with one van-accessible parking space. Curb cuts are present.,"There is a ""family"" toilet that is listed as wheelchair accessible. There are railings in the restroom and the heights of the toilet, sink, soap, and hand dryers all seem designed to be wheelchair accessible. The toilet is a single toilet in a large room. It is heated during the winter.",There is a very slight ramp from the asphalt path to the wooden boardwalk. It is approximately three feet in length and the slope is gentle.,The surface is very well maintained and in good condition. There is a concrete sidewalk near the parking lot (with curb cuts) that transitions to an asphalt path that leads to the wooden boardwalk. The trail from the parking lot to the boardwalk is less than 150 feet.,Trail is flat with some areas having light gradients no steeper than a ratio of 1:20.,"Trail is at least 36"" wide.",No steps are present.,"There are a number of picnic tables under an awning at the nearby shelter, which is directly adjacent to the parking lot. There are also some benches on the grass near the boardwalk, but they are not connected to the trail.",No known obstacles or obstructions are present.,"There are three horizontal bars on the railings, placed far enough apart to optimize viewing from a seated position. There are thin wooden vertical bars at approximately 5 ft intervals.",No features available for visitors who are blind or have low vision.,"There is no shade on the trail, but there is a covered area attached to the shelter with picnic tables underneath it.",There is a playground and soccer fields nearby so children may be heard playing.,No bird blind present.,Grassy areas are mowed frequently. Trails are plowed in Winter and leaves are removed throughout Fall. Vegetation adjacent to trail is well maintained.,"While there is no hunting allowed in Lewis Park, waterfowl hunting is allowed on Lower Mud Lake (the lake it overlooks) and during hunting season one may hear gunshots.",There is a dual ADA-accessible scope system set up on the viewing platform
